"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","test_search_product","tests.api","Tue May 19 00:02:44 UTC 2026","passed","Tue May 19 00:02:44 UTC 2026","","test_search_product_negative","",""
"Тест на вход с неверным паролем (Negative scenario)","192","test_login_invalid_password","tests.api","Tue May 19 00:02:44 UTC 2026","passed","Tue May 19 00:02:44 UTC 2026","","test_negative_login","",""
"","124","test_login_invalid_password","tests.api","Tue May 19 00:02:44 UTC 2026","passed","Tue May 19 00:02:44 UTC 2026","","test_auth","",""
"","58","test_get_current_user_details","tests.api","Tue May 19 00:02:44 UTC 2026","passed","Tue May 19 00:02:44 UTC 2026","","test_get_user_info","",""
"","64","test_get_all_products","tests.api","Tue May 19 00:02:44 UTC 2026","passed","Tue May 19 00:02:44 UTC 2026","","test_products","",""
"","56","test_search_product_parametrization[Mascara-beauty]","tests.api","Tue May 19 00:02:45 UTC 2026","passed","Tue May 19 00:02:45 UTC 2026","","test_search_products","",""
"","57","test_get_single_product","tests.api","Tue May 19 00:02:45 UTC 2026","passed","Tue May 19 00:02:45 UTC 2026","","test_single_product","",""
"","57","test_search_product_parametrization[iPhone-mobile-accessories]","tests.api","Tue May 19 00:02:44 UTC 2026","passed","Tue May 19 00:02:45 UTC 2026","","test_search_products","",""
"","56","test_search_product_parametrization[Laptop-laptops]","tests.api","Tue May 19 00:02:45 UTC 2026","passed","Tue May 19 00:02:45 UTC 2026","","test_search_products","",""
"","60","test_update_product","tests.api","Tue May 19 00:02:45 UTC 2026","passed","Tue May 19 00:02:45 UTC 2026","","test_update_product","",""
"","153","test_login_success","tests.api","Tue May 19 00:02:44 UTC 2026","passed","Tue May 19 00:02:44 UTC 2026","","test_auth","",""
"","55","test_delete_product","tests.api","Tue May 19 00:02:44 UTC 2026","passed","Tue May 19 00:02:44 UTC 2026","","test_delete_product","",""
"","196","test_add_new_product","tests.api","Tue May 19 00:02:43 UTC 2026","passed","Tue May 19 00:02:44 UTC 2026","","test_add_new_product","",""
